"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"USB-MINI-B-SMD";1;"USB";;;
2;"P8,P2,P6,P13,P9,P12,P11,P10,P15,P14,P5,P3,P1";"TESTPT";13;"TST";;;
3;"U12";"SSOP20";1;"PIC16LF1459_SSOP20";;;
4;"U3,U2";"ssop-16";2;"PCF8574_SO16";;;
5;"U11";"ssop-16";1;"74LS138";;;
6;"U7,U8,U5,U6";"SOIC8-Large";4;"ISL6612";;;
7;"L2,L3,L5,L4";"SM1206";4;"600n";;;
8;"JP2,JP1,JP3,JP4";"SM0402";4;"JUMPER";;;
9;"U22,U17,U14,U18,U15,U19,U16,U20,U21,U23,U24,U25,U26,U27,U28,U13";"QFN48+1";16;"ASIC";;;
10;"P4";"pin_array_4x2";1;"DIL8";;;
11;"P7";"pin_array_3x2";1;"DIL6";;;
12;"C7,C15,C14";"c_elec_10x10";3;"330u";;;
13;"L1";"c_1825";1;"2.2u";;;
14;"U9";"burr-brown-DD-7";1;"LM22678";;;
15;"Q1";"-SC70-6L";1;"FDG1024NZ";;;
16;"R59,R62,R58,R63,R57,R72,R68,R73,R69,R74,R70,R75,R46,R37,R34,R49,R45,R38,R35,R33,R50,R39,R36,R51,R47,R60,R56,R61,R9,R71,R4,R18,R5,R17,R6,R3,R11,R32,R44,R48";"-R0603";40;"1k";;;
17;"R54,R40,R42,R66,R64,R52,R31,R29";"-R0603";8;"5.6k";;;
18;"R24,R23,R22,R25";"-R0603";4;"27.3k";;;
19;"FB2,FB3,FB1";"-R0603";3;"120R";;;
20;"R41,R43,R65,R67,R55,R53,R27,R26,R19,R20,R28,R30";"-R0603";12;"10k";;;
21;"R21";"-R0603";1;"402";;;
22;"TH1";"-R0603";1;"6.8k vishay";;;
23;"R13,R14,R15,R16";"-R0603";4;"8.4k";;;
24;"R12";"-R0603";1;"11k";;;
25;"R1";"-R0603";1;"22k";;;
26;"R7";"-R0603";1;"1G";;;
27;"R2";"-R0603";1;"19.1k";;;
28;"R10";"-R0603";1;"88k";;;
29;"R8";"-R0603";1;"100k";;;
30;"TH3,TH2";"-R0402";2;"2.2k RT";;;
31;"RP1";"-R-PDSO-G16";1;"10k";;;
32;"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9";"-DPACK_2";8;"MOS_N";;;
33;"U4";"-DDPACK-7";1;"LM340S";;;
34;"D1";"-D2PACK";1;"VRRM = 45V";;;
35;"C12";"-C1210";1;"10u";;;
36;"C271,C263,C242,C127,C284,C285,C78,C266,C119,C274,C250,C258,C248,C111,C268,C267,C251,C259,C243,C275,C103,C286,C272,C264,C256,C77,C240,C288,C287,C208,C192,C184,C200,C32,C227,C226,C228,C229,C230,C177,C185,C193,C201,C209,C255,C135,C210,C178,C194,C186,C202,C79,C280,C279,C281,C282,C283,C239,C247,C16,C246,C262,C254,C270,C76,C144,C17,C51,C35,C43,C33,C59,C13,C278,C252,C289,C291,C292,C293,C241,C249,C257,C265,C273,C147,C146,C276,C244,C260,C290,C176,C75,C295,C294,C296,C297,C298,C245,C253,C261,C269,C277,C145,C143,C155,C80,C82,C137,C129,C121,C113,C105,C157,C156,C140,C153,C154,C83,C67,C53,C61,C45,C73,C84,C42,C46,C74,C81,C71,C65,C58,C50,C94,C93,C92,C90,C91,C132,C116,C124,C108,C149,C136,C128,C120,C112,C104,C152,C151,C150,C148,C56,C18,C66,C52,C60,C44,C72,C63,C69,C85,C40,C70,C64,C57,C49,C41,C89,C88,C87,C19,C86,C131,C115,C123,C107,C139,C48,C39,C196,C188,C180,C172,C220,C219,C218,C216,C217,C204,C198,C182,C190,C174,C206,C106,C122,C203,C222,C205,C197,C189,C181,C173,C225,C224,C223,C221,C62,C34,C199,C183,C191,C175,C207,C138,C158,C110,C142,C114,C130,C55,C159,C141,C126,C160,C161,C133,C125,C117,C109,C162,C118,C195,C187,C179,C171,C215,C214,C213,C211,C212,C47,C134,C54,C68";"-C0603";245;"1u";;;
37;"C235,C236,C170,C299,C237,C238,C101,C169,C38,C37,C36,C31,C100,C167,C168,C102,C99";"-C0603";17;"0.1u";;;
38;"C20";"-C0603";1;"10n";;;
39;"C4";"-C0603";1;"1p";;;
40;"C3";"-C0603";1;"1.2n";;;
41;"C1";"-C0603";1;"50p";;;
42;"C2,C26,C25,C24,C23";"-C0603";5;"22n";;;
43;"C5";"-C0603";1;".22u";;;
44;"C6";"-C0603";1;".1u";;;
45;"C9,C8,C11,C10";"-C0603";4;"330n";;;
46;"C21";"-C0603";1;"10nf";;;
47;"C28,C30,C166,C234,C165,C163,C96,C97,C95,C231,C27,C233,C98,C232,C29,C164";"-C0402";16;"0.47u";;;
48;"C22";"-175TMP-0808";1;"560u";;;
49;"Hole4mm";"Hole4mm";1;"P3";;;
50;"Hole4mm";"Hole4mm";1;"P4";;;
51;"Hole4mm";"Hole4mm";1;"P2";;;
52;"Hole4mm";"Hole4mm";1;"P1";;;
53;"Hole4mm";"Hole4mm";1;"P5";;;
54;"J1";"PCIEPWR";1;"PCIE_PWR";;;
55;"U1";"QFN40+1";1;"ISL6306";;;
