eeschema (2013-04-19 BZR 4011)-stable  >> Creation date: 9/2/2013 2:07:54 AM
#Cmp ( order = Reference ) (with SubCmp)
| C1         50p         Loc /(X=50.800 mm, Y=163.830 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C2         22n         Loc /(X=57.150 mm, Y=143.510 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C3         1.2n        Loc /(X=57.150 mm, Y=157.480 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C4         1p          Loc /(X=66.040 mm, Y=163.830 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C5         .22u        Loc /(X=66.040 mm, Y=504.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C6         .1u         Loc /(X=99.060 mm, Y=504.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C7         330u        Loc /(X=161.290 mm, Y=27.940 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C8         330n        Loc /(X=120.650 mm, Y=116.840 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C9         330n        Loc /(X=120.650 mm, Y=149.860 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C10        330n        Loc /(X=123.190 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C11        330n        Loc /(X=123.190 mm, Y=83.820 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C12        10u         Loc /(X=125.730 mm, Y=467.360 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C13        1u          Loc /(X=135.890 mm, Y=467.360 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C14        330u        Loc /(X=140.970 mm, Y=27.940 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C15        330u        Loc /(X=151.130 mm, Y=27.940 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C16        1u          Loc /(X=171.450 mm, Y=162.560 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C17        1u          Loc /(X=173.990 mm, Y=129.540 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C18        1u          Loc /(X=175.260 mm, Y=62.230 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C19        1u          Loc /(X=176.530 mm, Y=93.980 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C20        10n         Loc /(X=184.150 mm, Y=448.310 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C21        10nf        Loc /(X=205.740 mm, Y=287.020 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C22        560u        Loc /(X=219.710 mm, Y=467.360 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C23        22n         Loc /(X=241.300 mm, Y=59.690 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C24        22n         Loc /(X=241.300 mm, Y=99.060 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C25        22n         Loc /(X=241.300 mm, Y=135.890 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C26        22n         Loc /(X=241.300 mm, Y=172.720 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C27        0.47u       Loc /(X=281.940 mm, Y=488.950 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C28        0.47u       Loc /(X=320.040 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C29        0.47u       Loc /(X=320.040 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C30        0.47u       Loc /(X=320.040 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C31        0.1u        Loc /(X=336.550 mm, Y=521.970 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C32        1u          Loc /(X=341.630 mm, Y=452.120 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C33        1u          Loc /(X=342.900 mm, Y=521.970 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C34        1u          Loc /(X=347.980 mm, Y=452.120 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C35        1u          Loc /(X=349.250 mm, Y=521.970 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C36        0.1u        Loc /(X=350.520 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C37        0.1u        Loc /(X=350.520 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C38        0.1u        Loc /(X=350.520 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C39        1u          Loc /(X=354.330 mm, Y=452.120 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C40        1u          Loc /(X=355.600 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C41        1u          Loc /(X=355.600 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C42        1u          Loc /(X=355.600 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C43        1u          Loc /(X=355.600 mm, Y=521.970 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C44        1u          Loc /(X=356.870 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C45        1u          Loc /(X=356.870 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C46        1u          Loc /(X=356.870 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C47        1u          Loc /(X=360.680 mm, Y=452.120 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C48        1u          Loc /(X=361.950 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C49        1u          Loc /(X=361.950 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C50        1u          Loc /(X=361.950 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C51        1u          Loc /(X=361.950 mm, Y=521.970 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C52        1u          Loc /(X=363.220 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C53        1u          Loc /(X=363.220 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C54        1u          Loc /(X=363.220 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C55        1u          Loc /(X=367.030 mm, Y=452.120 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C56        1u          Loc /(X=368.300 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C57        1u          Loc /(X=368.300 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C58        1u          Loc /(X=368.300 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C59        1u          Loc /(X=368.300 mm, Y=521.970 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C60        1u          Loc /(X=369.570 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C61        1u          Loc /(X=369.570 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C62        1u          Loc /(X=369.570 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C63        1u          Loc /(X=374.650 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C64        1u          Loc /(X=374.650 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C65        1u          Loc /(X=374.650 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C66        1u          Loc /(X=375.920 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C67        1u          Loc /(X=375.920 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C68        1u          Loc /(X=375.920 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C69        1u          Loc /(X=381.000 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C70        1u          Loc /(X=381.000 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C71        1u          Loc /(X=381.000 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C72        1u          Loc /(X=382.270 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C73        1u          Loc /(X=382.270 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C74        1u          Loc /(X=382.270 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C75        1u          Loc /(X=402.590 mm, Y=476.250 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C76        1u          Loc /(X=402.590 mm, Y=482.600 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C77        1u          Loc /(X=402.590 mm, Y=488.950 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C78        1u          Loc /(X=402.590 mm, Y=495.300 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C79        1u          Loc /(X=402.590 mm, Y=501.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C80        1u          Loc /(X=411.480 mm, Y=77.470 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C81        1u          Loc /(X=411.480 mm, Y=83.820 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C82        1u          Loc /(X=411.480 mm, Y=90.170 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C83        1u          Loc /(X=411.480 mm, Y=96.520 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C84        1u          Loc /(X=411.480 mm, Y=102.870 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C85        1u          Loc /(X=411.480 mm, Y=201.930 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C86        1u          Loc /(X=411.480 mm, Y=208.280 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C87        1u          Loc /(X=411.480 mm, Y=214.630 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C88        1u          Loc /(X=411.480 mm, Y=220.980 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C89        1u          Loc /(X=411.480 mm, Y=227.330 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C90        1u          Loc /(X=411.480 mm, Y=346.710 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C91        1u          Loc /(X=411.480 mm, Y=353.060 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C92        1u          Loc /(X=411.480 mm, Y=359.410 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C93        1u          Loc /(X=411.480 mm, Y=365.760 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C94        1u          Loc /(X=411.480 mm, Y=372.110 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C95        0.47u       Loc /(X=452.120 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C96        0.47u       Loc /(X=454.660 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C97        0.47u       Loc /(X=454.660 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C98        0.47u       Loc /(X=454.660 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C99        0.1u        Loc /(X=485.140 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C100       0.1u        Loc /(X=485.140 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C101       0.1u        Loc /(X=485.140 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C102       0.1u        Loc /(X=486.410 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C103       1u          Loc /(X=490.220 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C104       1u          Loc /(X=490.220 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C105       1u          Loc /(X=490.220 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C106       1u          Loc /(X=491.490 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C107       1u          Loc /(X=491.490 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C108       1u          Loc /(X=491.490 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C109       1u          Loc /(X=491.490 mm, Y=453.390 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C110       1u          Loc /(X=492.760 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C111       1u          Loc /(X=496.570 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C112       1u          Loc /(X=496.570 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C113       1u          Loc /(X=496.570 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C114       1u          Loc /(X=497.840 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C115       1u          Loc /(X=497.840 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C116       1u          Loc /(X=497.840 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C117       1u          Loc /(X=497.840 mm, Y=453.390 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C118       1u          Loc /(X=499.110 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C119       1u          Loc /(X=502.920 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C120       1u          Loc /(X=502.920 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C121       1u          Loc /(X=502.920 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C122       1u          Loc /(X=504.190 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C123       1u          Loc /(X=504.190 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
